date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:17:07	16113/16113	URF---	200	added ('OK%20(cached)')	image/jpeg		https://p.w3layouts.com/demos_new/template_demo/03-04-2019/startup-demo_Free/491878990/web/images/t1.jpg	/home/prasanna/websites/ajapro/p.w3layouts.com/demos_new/template_demo/03-04-2019/startup-demo_Free/491878990/web/images/t1.jpg	(from https://p.w3layouts.com/demos_new/template_demo/03-04-2019/startup-demo_Free/491878990/web/about.html)
12:17:10	165742/165742	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2003%20Apr%202019%2006:45:35%20GMT	https://p.w3layouts.com/demos_new/template_demo/03-04-2019/startup-demo_Free/491878990/web/fonts/fontawesome-webfont.eot?v=4.7.0	/home/prasanna/websites/ajapro/p.w3layouts.com/demos_new/template_demo/03-04-2019/startup-demo_Free/491878990/web/fonts/fontawesome-webfont3e6e.eot	(from https://p.w3layouts.com/demos_new/template_demo/03-04-2019/startup-demo_Free/491878990/web/css/font-awesome.min.css)
12:17:10	16239/16239	URF---	200	added ('OK%20(cached)')	image/jpeg		https://p.w3layouts.com/demos_new/template_demo/03-04-2019/startup-demo_Free/491878990/web/images/t3.jpg	/home/prasanna/websites/ajapro/p.w3layouts.com/demos_new/template_demo/03-04-2019/startup-demo_Free/491878990/web/images/t3.jpg	(from https://p.w3layouts.com/demos_new/template_demo/03-04-2019/startup-demo_Free/491878990/web/about.html)
12:17:12	116375/116375	URF---	200	added ('OK%20(cached)')	image/png		https://p.w3layouts.com/demos_new/template_demo/03-04-2019/startup-demo_Free/491878990/web/images/faq.png	/home/prasanna/websites/ajapro/p.w3layouts.com/demos_new/template_demo/03-04-2019/startup-demo_Free/491878990/web/images/faq.png	(from https://p.w3layouts.com/demos_new/template_demo/03-04-2019/startup-demo_Free/491878990/web/faq.html)
12:17:13	94020/94020	URF---	200	added ('OK%20(cached)')	image/png		https://p.w3layouts.com/demos_new/template_demo/03-04-2019/startup-demo_Free/491878990/web/images/error.png	/home/prasanna/websites/ajapro/p.w3layouts.com/demos_new/template_demo/03-04-2019/startup-demo_Free/491878990/web/images/error.png	(from https://p.w3layouts.com/demos_new/template_demo/03-04-2019/startup-demo_Free/491878990/web/404.html)
12:17:17	165742/165742	UR-MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2003%20Apr%202019%2006:45:35%20GMT	https://p.w3layouts.com/demos_new/template_demo/03-04-2019/startup-demo_Free/491878990/web/fonts/fontawesome-webfont.eot?v=4.7.0	/home/prasanna/websites/ajapro/p.w3layouts.com/demos_new/template_demo/03-04-2019/startup-demo_Free/491878990/web/fonts/fontawesome-webfont3e6e.eot	(from https://p.w3layouts.com/demos_new/template_demo/03-04-2019/startup-demo_Free/491878990/web/css/font-awesome.min.css)
12:17:17	165742/165742	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2003%20Apr%202019%2006:45:35%20GMT	https://p.w3layouts.com/demos_new/template_demo/03-04-2019/startup-demo_Free/491878990/web/fonts/fontawesome-webfont.eot?	/home/prasanna/websites/ajapro/p.w3layouts.com/demos_new/template_demo/03-04-2019/startup-demo_Free/491878990/web/fonts/fontawesome-webfontd41d.eot	(from https://p.w3layouts.com/demos_new/template_demo/03-04-2019/startup-demo_Free/491878990/web/css/font-awesome.min.css)
12:17:18	10367/10367	URF---	200	added ('OK%20(cached)')	image/png		https://p.w3layouts.com/demos_new/template_demo/03-04-2019/startup-demo_Free/491878990/web/images/inner.png	/home/prasanna/websites/ajapro/p.w3layouts.com/demos_new/template_demo/03-04-2019/startup-demo_Free/491878990/web/images/inner.png	(from https://p.w3layouts.com/demos_new/template_demo/03-04-2019/startup-demo_Free/491878990/web/css/style.css)
12:17:18	23333/23333	URF---	200	added ('OK%20(cached)')	image/jpeg		https://p.w3layouts.com/demos_new/template_demo/03-04-2019/startup-demo_Free/491878990/web/images/inner.jpg	/home/prasanna/websites/ajapro/p.w3layouts.com/demos_new/template_demo/03-04-2019/startup-demo_Free/491878990/web/images/inner.jpg	(from https://p.w3layouts.com/demos_new/template_demo/03-04-2019/startup-demo_Free/491878990/web/css/style.css)
12:17:20	77160/77160	---M--	200	added ('OK')	font/woff2	date:Wed,%2003%20Apr%202019%2006:45:35%20GMT	https://p.w3layouts.com/demos_new/template_demo/03-04-2019/startup-demo_Free/491878990/web/fonts/fontawesome-webfont.woff2?v=4.7.0	/home/prasanna/websites/ajapro/p.w3layouts.com/demos_new/template_demo/03-04-2019/startup-demo_Free/491878990/web/fonts/fontawesome-webfont3e6e.woff2	(from https://p.w3layouts.com/demos_new/template_demo/03-04-2019/startup-demo_Free/491878990/web/css/font-awesome.min.css)
12:17:22	98024/98024	---M--	200	added ('OK')	font/woff	date:Wed,%2003%20Apr%202019%2006:45:35%20GMT	https://p.w3layouts.com/demos_new/template_demo/03-04-2019/startup-demo_Free/491878990/web/fonts/fontawesome-webfont.woff?v=4.7.0	/home/prasanna/websites/ajapro/p.w3layouts.com/demos_new/template_demo/03-04-2019/startup-demo_Free/491878990/web/fonts/fontawesome-webfont3e6e.woff	(from https://p.w3layouts.com/demos_new/template_demo/03-04-2019/startup-demo_Free/491878990/web/css/font-awesome.min.css)
12:17:22	165742/165742	UR-MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2003%20Apr%202019%2006:45:35%20GMT	https://p.w3layouts.com/demos_new/template_demo/03-04-2019/startup-demo_Free/491878990/web/fonts/fontawesome-webfont.eot?	/home/prasanna/websites/ajapro/p.w3layouts.com/demos_new/template_demo/03-04-2019/startup-demo_Free/491878990/web/fonts/fontawesome-webfontd41d.eot	(from https://p.w3layouts.com/demos_new/template_demo/03-04-2019/startup-demo_Free/491878990/web/css/font-awesome.min.css)
12:17:27	165548/165548	---M--	200	added ('OK')	font/ttf	date:Wed,%2003%20Apr%202019%2006:45:35%20GMT	https://p.w3layouts.com/demos_new/template_demo/03-04-2019/startup-demo_Free/491878990/web/fonts/fontawesome-webfont.ttf?v=4.7.0	/home/prasanna/websites/ajapro/p.w3layouts.com/demos_new/template_demo/03-04-2019/startup-demo_Free/491878990/web/fonts/fontawesome-webfont3e6e.ttf	(from https://p.w3layouts.com/demos_new/template_demo/03-04-2019/startup-demo_Free/491878990/web/css/font-awesome.min.css)
12:17:27	444379/444379	---MCZ	200	added ('OK')	image/svg+xml	date:Wed,%2020%20Jan%202021%2017:27:25%20GMT	https://p.w3layouts.com/assests/fonts/fontawesome-webfont.svg?v=4.7.0	/home/prasanna/websites/ajapro/p.w3layouts.com/assests/fonts/fontawesome-webfont3e6e.svg	(from https://p.w3layouts.com/assests/css/font-awesome.min.css)
12:17:28	444379/444379	---MCZ	200	added ('OK')	image/svg+xml	date:Wed,%2003%20Apr%202019%2006:45:35%20GMT	https://p.w3layouts.com/demos_new/template_demo/03-04-2019/startup-demo_Free/491878990/web/fonts/fontawesome-webfont.svg?v=4.7.0	/home/prasanna/websites/ajapro/p.w3layouts.com/demos_new/template_demo/03-04-2019/startup-demo_Free/491878990/web/fonts/fontawesome-webfont3e6e.svg	(from https://p.w3layouts.com/demos_new/template_demo/03-04-2019/startup-demo_Free/491878990/web/css/font-awesome.min.css)
